"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Candlemen","NM","Albuquerque","Bernalillo","Albuquerque",4359,136100,0.00368731563421829,0.00591278640059128,-0.0361189801699717,-0.0140802151730854,0.00193070459632128,"2008-01","2008-Q1",175100,-0.222729868646488,"2005-09"
2015-08-31,"White Manor","WI","Milwaukee","Milwaukee","Milwaukee",4360,103000,-0.000969932104752667,0,-0.0162368672397326,-0.0429775764130914,-0.0368286425032548,"2006-09","2006-Q3",155700,-0.338471419396275,"2001-08"
2015-08-31,"Woodhaven","VA","Richmond","Richmond City","Richmond",4361,101200,0.0140280561122244,0.0630252100840336,-0.010752688172043,-0.0292609885732422,-0.00946794422623587,"2008-02","2008-Q1",131600,-0.231003039513678,"2005-04"
2015-08-31,"West Calhoun","MN","Minneapolis-St Paul","Hennepin","Minneapolis",4362,192700,0.0190375462718139,0.0518558951965066,0.0404967602591793,0.0210955858549546,-0.0110285179335164,"2005-10","2005-Q4",217800,-0.11524334251607,"2004-05"
2015-08-31,"Royal Terrace","FL","Jacksonville","Duval","Jacksonville",4363,58300,-0.00171232876712329,0.0264084507042254,0.121153846153846,-0.0209188038052721,-0.0279407005557766,"2006-12","2006-Q4",89500,-0.348603351955307,"2002-01"
2015-08-31,"Heritage Eagle Bend","CO","Denver","Arapahoe","Aurora",4364,437400,0.00206185567010309,0.0129689671144048,0.113260371595826,0.0623181823745007,0.0192977879345395,"2015-08","2015-Q3",437400,0,"2015-08"
2015-08-31,"Lake Pasadena","FL","Tampa","Pinellas","Saint Petersburg",4365,172700,0.0152851263962375,0.047301394784718,0.141440846001322,0.0644102614685289,-0.0103316461005843,"2006-09","2006-Q3",218800,-0.210694698354662,"2005-03"
2015-08-31,"Hills Park","GA","Atlanta","Fulton","Atlanta",4366,342900,0.00942007653812187,0.0356387798248263,0.125738673670387,0.0402502220901868,0.0132191879627315,"2007-08","2007-Q3",347900,-0.0143719459614832,"2007-05"
2015-08-31,"Harlan Heights","AZ","Tucson","Pima","Tucson",4367,132000,0,0.00840336134453781,0.0492845786963434,-0.0156055766088127,-0.0259519895698825,"2006-06","2006-Q2",190700,-0.307813319349764,"2004-10"
2015-08-31,"Eagle Ranch","NM","Albuquerque","Bernalillo","Albuquerque",4368,200800,-0.00099502487562189,-0.00347394540942928,-0.024769305488101,-0.00207860849789931,0.0060213973825507,"2007-05","2007-Q2",253600,-0.20820189274448,"2005-11"
2015-08-31,"Sunset Village","WI","Madison","Dane","Madison",4369,258500,0.00427350427350427,0.00897736143637783,0.0217391304347826,0.0265107443723227,0.015704888034201,"2015-08","2015-Q3",258500,0,"2015-08"
2015-08-31,"Albion Acres","GA","Augusta","Richmond","Augusta",4370,41000,-0.00966183574879227,0.0301507537688442,-0.0167865707434053,-0.0354150691258329,-0.0268043521149506,"2007-09","2007-Q3",60100,-0.317803660565724,"2000-02"
2015-08-31,"Mirabella","NM","Albuquerque","Bernalillo","Albuquerque",4371,172600,0.0152941176470588,0.0492401215805471,-0.00288850375505488,0.0038683607697183,0.00592435643752887,"2007-09","2007-Q3",214800,-0.196461824953445,"2006-04"
2015-08-31,"Pullman","IL","Chicago","Cook","Chicago",4372,89200,-0.00778642936596218,-0.00223713646532438,-0.147227533460803,-0.0542633710348088,-0.0380690238007002,"2006-12","2006-Q4",141900,-0.37138830162086,"2002-02"
2015-08-31,"Tampa-Bayshore Gardens","FL","Tampa","Hillsborough","Tampa",4373,300900,0.00266577807397534,-0.00397219463753724,0.00601805416248746,0.0411119134193525,-0.00466374908199263,"2006-03","2006-Q1",348000,-0.135344827586207,"2005-07"
2015-08-31,"River West","IL","Chicago","Cook","Chicago",4374,325600,0.00184615384615385,0.0136986301369863,0.0197306608205449,0.00869915513571695,0.0000921843136205691,"2007-08","2007-Q3",346700,-0.0608595327372368,"2006-10"
2015-08-31,"Woodridge","TX","San Antonio","Bexar","San Antonio",4375,183800,0.00437158469945355,0.0137892995035852,0.0723453908984831,0.0287668557235243,0.0169262296303103,"2015-08","2015-Q3",183800,0,"2015-08"
2015-08-31,"West Davis Manor","CA","Sacramento","Yolo","Davis",4376,698500,0.00388042540960046,0.0204528853177502,0.0472263868065967,0.0659726764383739,0.013225314593833,"2015-08","2015-Q3",698500,0,"2015-08"
