"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"49055","MI","Kalamazoo","Van Buren","Gobles",9198,112900,0.000886524822695035,0.000886524822695035,0.0473098330241187,0.0185241793756383,-0.00566528144611056,"2005-11","2005-Q4",122700,-0.0798696006519967,"2005-04"
2015-08-31,"11560","NY","New York","Nassau","Locust Valley",9199,740500,0.00243671314471369,0.0118884941240776,0.0171703296703297,0.0180625214888197,-0.00481272240969455,"2006-07","2006-Q3",802000,-0.0766832917705736,"2005-02"
2015-08-31,"05491","VT",,"Addison","Vergennes",9200,229200,0.0070298769771529,0.0200267022696929,0.00658761528326746,0.00460033580096897,,"2009-06","2009-Q2",258500,-0.113346228239845,
2015-08-31,"10590","NY","New York","Westchester","Lewisboro",9201,574300,0.00648440238345601,0.0273703041144902,-0.0254539283896148,-0.01372899677535,-0.0252154807280772,"2005-11","2005-Q4",748500,-0.232732130928524,"2003-06"
2015-08-31,"43620","OH","Toledo","Lucas","Toledo",9202,56100,0.00718132854578097,0.0237226277372263,-0.0742574257425743,-0.0229327369337496,-0.0296478654100145,"2006-05","2006-Q2",79400,-0.293450881612091,"1999-07"
2015-08-31,"11952","NY","New York","Suffolk","Mattituck",9203,522600,-0.00476099790516092,-0.00324241846271219,0.0969773299748111,0.00297314024741668,-0.00288147218617318,"2006-06","2006-Q2",581500,-0.101289767841788,"2005-02"
2015-08-31,"34291","FL","Sarasota","Sarasota","North Port",9204,162300,0.00619962802231866,0.0201131363922062,0.0863453815261044,0.0924632647754309,-0.0382436806491447,"2005-11","2005-Q4",247400,-0.343977364591754,"2004-08"
2015-08-31,"46391","IN","Michigan City","La Porte","Westville",9205,169400,0.00236686390532544,-0.000589970501474926,-0.00703399765533412,-0.000118021955371139,0.0199757830522826,"2009-09","2009-Q3",209100,-0.18986131037781,"2008-11"
2015-08-31,"29059","SC","Orangeburg","Orangeburg","Holly Hill",9206,89400,-0.00111731843575419,0.00224215246636771,0.103703703703704,-0.0110344987887541,0.0055338973098118,"2007-12","2007-Q4",108200,-0.173752310536044,"2006-09"
2015-08-31,"11944","NY","New York","Suffolk","Greenport",9207,417300,0.003125,0.0158227848101266,0.00821454457598454,-0.00763412342582626,-0.0148406183111263,"2007-06","2007-Q2",498800,-0.163392141138733,"2004-07"
2015-08-31,"01860","MA","Boston","Essex","Merrimac",9208,351800,0.00113830392714855,0.0141251081003171,0.0609167671893848,0.0307931826283523,-0.005861121011007,"2005-06","2005-Q2",376000,-0.0643617021276596,"2004-09"
2015-08-31,"45171","OH","Cincinnati","Brown","Sardinia",9209,143200,-0.00555555555555556,0.0221270521056388,0.319815668202765,0.0973371989080918,0.0237871143647497,"2015-07","2015-Q3",144000,-0.00555555555555556,"2015-06"
2015-08-31,"21120","MD","Baltimore","Baltimore","Parkton",9210,411900,0,-0.00218023255813953,0.012039312039312,0.00482757286999758,-0.0111556597457491,"2006-07","2006-Q3",496300,-0.170058432399758,"2004-12"
2015-08-31,"70446","LA","Hammond","Tangipahoa","Loranger",9211,159700,0.00251098556183302,0.0316537467700258,0.00566750629722922,-0.0301340585101086,,"2010-11","2010-Q4",191400,-0.165621734587252,
2015-08-31,"28458","NC",,"Duplin","Rose Hill",9212,71000,0,0.00995732574679943,-0.0313778990450205,0.00255467423342526,0.00521704755753172,"2007-06","2007-Q2",80800,-0.121287128712871,"2005-11"
2015-08-31,"35747","AL","Albertville","Marshall","Grant",9213,125000,-0.00318979266347687,-0.00239425379090184,-0.00398406374501992,0.0168161478219546,0.0188567467878162,"2014-07","2014-Q3",125800,-0.00635930047694754,"2014-05"
2015-08-31,"29555","SC","Florence","Florence","Johnsonville",9214,82600,0.00364520048602673,-0.0143198090692124,0.0549169859514687,0.0289953329400823,0.0188938657593132,"2015-04","2015-Q2",84300,-0.0201660735468565,"2015-01"
2015-08-31,"11709","NY","New York","Nassau","Bayville",9215,519900,0.00231347599768652,-0.00249424405218726,0.0260509177027827,0.0161829755604008,-0.012702736951771,"2005-08","2005-Q3",590800,-0.120006770480704,"2004-08"
2015-08-31,"32466","FL","Panama City","Bay","Youngstown",9216,138000,0.00803506208911614,0.0147058823529412,-0.00719424460431655,-0.0169309550814142,-0.0226323487431001,"2006-03","2006-Q1",189200,-0.27061310782241,"2004-09"
2015-08-31,"85045","AZ","Phoenix","Maricopa","Phoenix",9217,365000,0.00219659527732015,0.0030228084638637,0.0172798216276477,0.0390343928832277,-0.0251116813139634,"2006-04","2006-Q2",516200,-0.292909724912824,"2005-02"
