Sold Price,,,,,,,List Price,,,,,,,,Compare,
RegionName,City,State,Metro,CountyName,2015-01,2015-02,RegionName,City,State,Metro,CountyName,2015-01,2015-02,,,
94526,Danville,CA,San Francisco,Contra Costa,796000,856500,94526,Danville,CA,San Francisco,Contra Costa,899950,989000,,TRUE,-132500
94043,Mountain View,CA,San Jose,Santa Clara,859615.3846,976470.5882,94043,Mountain View,CA,San Jose,Santa Clara,788000,759000,,TRUE,217470.5882
94561,Oakley,CA,San Francisco,Contra Costa,324800,341725,94561,Oakley,CA,San Francisco,Contra Costa,349000,335000,,TRUE,6725
94941,Mill Valley,CA,San Francisco,Marin,1020400,1137725,94941,Mill Valley,CA,San Francisco,Marin,1195000,1395000,,TRUE,-257275
94070,San Carlos,CA,San Francisco,San Mateo,,1388884.615,94070,San Carlos,CA,San Francisco,San Mateo,1379950,1188000,,TRUE,200884.6154
95120,San Jose,CA,San Jose,Santa Clara,1242200,1212250,95120,San Jose,CA,San Jose,Santa Clara,1200000,1248000,,TRUE,-35750
94903,San Rafael,CA,San Francisco,Marin,702750,618500,94903,San Rafael,CA,San Francisco,Marin,624000,678000,,TRUE,-59500
94588,Pleasanton,CA,San Francisco,Alameda,733750,777750,94588,Pleasanton,CA,San Francisco,Alameda,824700,725000,,TRUE,52750
95122,San Jose,CA,San Jose,Santa Clara,,356692.3077,95122,San Jose,CA,San Jose,Santa Clara,459000,480000,,TRUE,-123307.6923
95070,Saratoga,CA,San Jose,Santa Clara,1625000,1895500,95070,Saratoga,CA,San Jose,Santa Clara,2249000,2745000,,TRUE,-849500
95148,San Jose,CA,San Jose,Santa Clara,740500,688500,95148,San Jose,CA,San Jose,Santa Clara,689000,689000,,TRUE,-500
95118,San Jose,CA,San Jose,Santa Clara,743285,655265,95118,San Jose,CA,San Jose,Santa Clara,715000,729900,,TRUE,-74635
94549,Lafayette,CA,San Francisco,Contra Costa,,1191538.462,94549,Lafayette,CA,San Francisco,Contra Costa,1399999,1399999,,TRUE,-208460.5385
94598,Walnut Creek,CA,San Francisco,Contra Costa,772250,833750,94598,Walnut Creek,CA,San Francisco,Contra Costa,799000,799000,,TRUE,34750
94555,Fremont,CA,San Francisco,Alameda,727000,795750,94555,Fremont,CA,San Francisco,Alameda,798000,774950,,TRUE,20800
95032,Los Gatos,CA,San Jose,Santa Clara,1247058.824,1355000,95032,Los Gatos,CA,San Jose,Santa Clara,1499988,1689950,,TRUE,-334950
94518,Concord,CA,San Francisco,Contra Costa,,447923.0769,94518,Concord,CA,San Francisco,Contra Costa,549000,545000,,TRUE,-97076.9231
94603,Oakland,CA,San Francisco,Alameda,,340692.3077,94603,Oakland,CA,San Francisco,Alameda,259000,275000,,TRUE,65692.3077
